,Gold,USDINR,NIFTY50,Gold_Volume,USDINR_Volume,NIFTY50_Volume
2017-03-08,1208.5,66.61620330810547,8924.2998046875,24.0,0.0,177800.0
2017-03-09,1202.4000244140625,66.76499938964844,8927.0,37.0,0.0,171500.0
2017-03-10,1200.699951171875,66.68049621582031,8934.5498046875,3.0,0.0,152700.0
2017-03-13,1202.4000244140625,66.48500061035156,8934.5498046875,35.0,0.0,152700.0
2017-03-14,1201.9000244140625,66.17009735107422,9087.0,22.0,0.0,270300.0
2017-03-15,1200.0999755859375,65.77510070800781,9084.7998046875,36.0,0.0,240600.0
2017-03-16,1226.5,65.62049865722656,9153.7001953125,47.0,0.0,208600.0
2017-03-17,1229.800048828125,65.40450286865234,9160.0498046875,26.0,0.0,286700.0
2017-03-20,1233.5999755859375,65.46810150146484,9126.849609375,23.0,0.0,332100.0
2017-03-21,1246.0999755859375,65.33529663085938,9121.5,11.0,0.0,247700.0
2017-03-22,1249.300048828125,65.49500274658203,9030.4501953125,3.0,0.0,232300.0
2017-03-23,1246.9000244140625,65.36499786376953,9086.2998046875,16.0,0.0,191800.0
2017-03-24,1248.199951171875,65.44439697265625,9108.0,3.0,0.0,203700.0
2017-03-27,1255.4000244140625,65.39309692382812,9045.2001953125,72.0,0.0,202700.0
2017-03-28,1255.300048828125,65.04499816894531,9100.7998046875,19.0,0.0,183300.0
2017-03-29,1253.4000244140625,65.11000061035156,9143.7998046875,190678.0,0.0,243400.0
2017-03-30,1245.0,64.77999877929688,9173.75,51328.0,0.0,323400.0
2017-03-31,1247.300048828125,64.79000091552734,9173.75,8223.0,0.0,190900.0
2017-04-03,1250.800048828125,64.79669952392578,9237.849609375,1160.0,0.0,139100.0
2017-04-04,1255.0,64.87750244140625,9237.849609375,724.0,0.0,139100.0
2017-04-05,1245.4000244140625,65.05000305175781,9265.150390625,907.0,0.0,184800.0
2017-04-06,1250.300048828125,65.04000091552734,9261.9501953125,169.0,0.0,186100.0
2017-04-07,1254.300048828125,64.58000183105469,9198.2998046875,445.0,0.0,190000.0
2017-04-10,1251.0999755859375,64.26000213623047,9181.4501953125,182.0,0.0,135800.0
2017-04-11,1271.199951171875,64.57499694824219,9237.0,401.0,0.0,200100.0
2017-04-12,1275.300048828125,64.62999725341797,9203.4501953125,492.0,0.0,161800.0
2017-04-13,1285.9000244140625,64.5,9150.7998046875,915.0,0.0,166500.0
2017-04-14,1285.9000244140625,64.44999694824219,9150.7998046875,915.0,0.0,166500.0
2017-04-17,1289.4000244140625,64.45369720458984,9139.2998046875,73.0,0.0,0.0
2017-04-18,1291.699951171875,64.4083023071289,9105.150390625,394.0,0.0,174200.0
2017-04-19,1281.4000244140625,64.56999969482422,9103.5,194.0,0.0,173700.0
2017-04-20,1281.9000244140625,64.64669799804688,9136.400390625,127.0,0.0,170300.0
2017-04-21,1287.4000244140625,64.66000366210938,9119.400390625,474.0,0.0,155200.0
2017-04-24,1275.800048828125,64.63999938964844,9217.9501953125,605.0,0.0,167700.0
2017-04-25,1265.5999755859375,64.38999938964844,9306.599609375,356.0,0.0,168700.0
2017-04-26,1262.0999755859375,64.3499984741211,9351.849609375,1156.0,0.0,185700.0
2017-04-27,1263.699951171875,64.0199966430664,9342.150390625,206.0,0.0,209400.0
2017-04-28,1266.0999755859375,64.05999755859375,9304.0498046875,85.0,0.0,162200.0
2017-05-01,1253.300048828125,64.25830078125,9304.0498046875,34.0,0.0,162200.0
2017-05-02,1255.0999755859375,64.18000030517578,9313.7998046875,90.0,0.0,161600.0
2017-05-03,1246.4000244140625,64.06999969482422,9311.9501953125,195.0,0.0,151600.0
2017-05-04,1226.5,64.20999908447266,9359.900390625,72.0,0.0,269600.0
2017-05-05,1224.800048828125,64.16999816894531,9285.2998046875,16.0,0.0,231900.0
2017-05-08,1225.300048828125,64.30799865722656,9314.0498046875,43.0,0.0,174300.0
2017-05-09,1214.300048828125,64.41179656982422,9316.849609375,55.0,0.0,132300.0
2017-05-10,1217.300048828125,64.63999938964844,9407.2998046875,23.0,0.0,152700.0
2017-05-11,1222.699951171875,64.55000305175781,9422.400390625,13.0,0.0,171100.0
2017-05-12,1226.199951171875,64.36000061035156,9400.900390625,29.0,0.0,154300.0
2017-05-15,1228.5999755859375,64.16549682617188,9445.400390625,13.0,0.0,140800.0
2017-05-16,1235.0,64.03829956054688,9512.25,20.0,0.0,166500.0
2017-05-17,1257.5,63.900001525878906,9525.75,26.0,0.0,205500.0
2017-05-18,1251.699951171875,64.2300033569336,9429.4501953125,43.0,0.0,193300.0
2017-05-19,1252.699951171875,64.87110137939453,9427.900390625,14.0,0.0,252100.0
2017-05-22,1260.699951171875,64.44850158691406,9438.25,14.0,0.0,196800.0
2017-05-23,1254.800048828125,64.50019836425781,9386.150390625,20.0,0.0,224400.0
2017-05-24,1252.4000244140625,64.88520050048828,9360.5498046875,14.0,0.0,211800.0
2017-05-25,1255.800048828125,64.76010131835938,9509.75,11.0,0.0,289200.0
2017-05-26,1267.5999755859375,64.54540252685547,9595.099609375,271457.0,0.0,218800.0
2017-05-29,1267.5999755859375,64.51319885253906,9604.900390625,271457.0,0.0,235000.0
2017-05-30,1262.0999755859375,64.50859832763672,9624.5498046875,129819.0,0.0,193900.0
2017-05-31,1272.0,64.61859893798828,9621.25,2712.0,0.0,414300.0
2017-06-01,1267.0,64.5000991821289,9616.099609375,825.0,0.0,176100.0
2017-06-02,1276.800048828125,64.37229919433594,9653.5,1732.0,0.0,162200.0
2017-06-05,1279.300048828125,64.40499877929688,9675.099609375,433.0,0.0,127700.0
2017-06-06,1294.4000244140625,64.34400177001953,9637.150390625,942.0,0.0,145900.0
2017-06-07,1290.0999755859375,64.42050170898438,9663.900390625,641.0,0.0,160700.0
2017-06-08,1276.300048828125,64.41829681396484,9647.25,319.0,0.0,155400.0
2017-06-09,1268.5,64.243896484375,9668.25,467.0,0.0,159000.0
2017-06-12,1266.0999755859375,64.37699890136719,9616.400390625,255.0,0.0,141400.0
2017-06-13,1265.800048828125,64.46910095214844,9606.900390625,150.0,0.0,129700.0
2017-06-14,1272.800048828125,64.35749816894531,9618.150390625,336.0,0.0,181800.0
2017-06-15,1252.199951171875,64.16580200195312,9578.0498046875,743.0,0.0,171100.0
2017-06-16,1254.0,64.55999755859375,9588.0498046875,34.0,0.0,213200.0
2017-06-19,1244.199951171875,64.3949966430664,9657.5498046875,108.0,0.0,141700.0
2017-06-20,1241.0,64.48760223388672,9653.5,75.0,0.0,159500.0
2017-06-21,1243.4000244140625,64.53050231933594,9633.599609375,205.0,0.0,144000.0
2017-06-22,1247.5999755859375,64.5416030883789,9630.0,156.0,0.0,198800.0
2017-06-23,1256.199951171875,64.59100341796875,9574.9501953125,269.0,0.0,175200.0
2017-06-26,1246.300048828125,64.49800109863281,9574.9501953125,194.0,0.0,175200.0
2017-06-27,1246.4000244140625,64.42130279541016,9511.400390625,111.0,0.0,203300.0
2017-06-28,1248.0,64.5248031616211,9491.25,370.0,0.0,172400.0
2017-06-29,1244.199951171875,64.51190185546875,9504.099609375,540.0,0.0,259300.0
2017-06-30,1240.699951171875,64.78510284423828,9520.900390625,43.0,0.0,179600.0
2017-07-03,1217.9000244140625,64.60679626464844,9615.0,33.0,0.0,183000.0
2017-07-04,1217.9000244140625,64.84269714355469,9613.2998046875,33.0,0.0,144800.0
2017-07-05,1220.4000244140625,64.7688980102539,9637.599609375,40.0,0.0,130800.0
2017-07-06,1222.199951171875,64.79139709472656,9674.5498046875,5.0,0.0,147400.0
2017-07-07,1208.5999755859375,64.71330261230469,9665.7998046875,116.0,0.0,141800.0
2017-07-10,1212.0999755859375,64.61170196533203,9771.0498046875,28.0,0.0,37500.0
2017-07-11,1213.5999755859375,64.61170196533203,9786.0498046875,12.0,0.0,179700.0
2017-07-12,1218.0999755859375,64.52559661865234,9816.099609375,7.0,0.0,145500.0
2017-07-13,1216.300048828125,64.36499786376953,9891.7001953125,7.0,0.0,181300.0
2017-07-14,1226.5999755859375,64.42579650878906,9886.349609375,23.0,0.0,159600.0
2017-07-17,1232.800048828125,64.26730346679688,9915.9501953125,7.0,0.0,163500.0
2017-07-18,1241.0999755859375,64.33000183105469,9827.150390625,29.0,0.0,293900.0
2017-07-19,1241.199951171875,64.3062973022461,9899.599609375,3.0,0.0,200200.0
2017-07-20,1244.800048828125,64.26329803466797,9873.2998046875,5.0,0.0,161100.0
2017-07-21,1254.300048828125,64.32499694824219,9915.25,16.0,0.0,187500.0
2017-07-24,1253.9000244140625,64.46109771728516,9966.400390625,8.0,0.0,174500.0
2017-07-25,1251.699951171875,64.36509704589844,9964.5498046875,18.0,0.0,185500.0
2017-07-26,1249.0,64.4469985961914,10020.650390625,7.0,0.0,197600.0
2017-07-27,1259.5999755859375,64.3447036743164,10020.5498046875,220309.0,0.0,287900.0
2017-07-28,1268.4000244140625,64.18499755859375,10014.5,64180.0,0.0,191600.0
2017-07-31,1266.5999755859375,64.12349700927734,10077.099609375,7780.0,0.0,237700.0
2017-08-01,1272.5999755859375,64.18949890136719,10114.650390625,1061.0,0.0,184300.0
2017-08-02,1271.800048828125,64.05580139160156,10081.5,393.0,0.0,161500.0
2017-08-03,1267.800048828125,63.64059829711914,10013.650390625,878.0,0.0,192700.0
2017-08-04,1258.300048828125,63.696998596191406,10066.400390625,521.0,0.0,178600.0
2017-08-07,1258.199951171875,63.66510009765625,10057.400390625,260.0,0.0,137400.0
2017-08-08,1256.4000244140625,63.830101013183594,9978.5498046875,555.0,0.0,203300.0
2017-08-09,1273.0,63.70289993286133,9908.0498046875,574.0,0.0,169200.0
